socks, home 1, closet, Drawer UL1
plastic welder, home 1, bedroom, box under bed
water bottle, home 1, kitchen, cabinet middle right first shelf
sock, home 1, dresser, Drawer UL2
shoes, home 1, closet, Shelf top right
hammer, home 1, garage, Tool cabinet bottom left
coffee mug, home 1, kitchen, cabinet top left
jacket, home 1, hallway, Coat rack middle
toothbrush, home 1, bathroom, Sink cabinet left side
notebook, home 1, study, Desk drawer top left
phone charger, home 1, bedroom, Nightstand top right
lamp, home 1, living room, End table bottom left
keys, home 1, entryway, Key holder next to door
towel, home 1, bathroom, Linen closet middle shelf
pen, home 1, study, Desk drawer bottom right
headphones, home 1, living room, Sofa armrest pocket
blanket, home 1, bedroom, Bed foot of mattress
vase, home 1, living room, Coffee table center
remote, home 1, living room, Sofa cushion middle
bottle opener, home 1, kitchen, Drawer bottom right
hat, home 1, hallway, Coat rack top left
DVD, home 1, living room, Media cabinet second shelf
spoon, home 1, kitchen, Drawer top right
scarf, home 1, closet, Shelf middle left
